Temp,TotalRentals
78.1,11497
55,6922
39.9,4759
44.1,4335
42.1,9471
45,11919
57,9596
46.9,12744
43,4510
48.9,9126
62.1,13312
57,8067
57,18422
62.1,18315
64,17570
66,16375
73.9,18180
81,23090
71.1,23318
68,22591
71.1,22127
78.1,17837
70,13426
68,16740
66.9,20850
60.1,13005
62.1,19914
57.9,15631
57,14954
64,17432
78.1,11497
55,6922
39.9,4759
44.1,4335
42.1,9471
45,11919
57,9596
46.9,12744
43,4510
48.9,9126
62.1,13312
57,8067
57,18422
62.1,18315
64,17570
66,16375
73.9,18180
81,23090
71.1,23318
68,22591
71.1,22127
78.1,17837
70,13426
68,16740
66.9,20850
60.1,13005
62.1,19914
57.9,15631
57,14954
64,17432
78.1,11497
55,6922
39.9,4759
44.1,4335
42.1,9471
45,11919
57,9596
46.9,12744
43,4510
48.9,9126
62.1,13312
57,8067
57,18422
62.1,18315
64,17570
66,16375
73.9,18180
81,23090
71.1,23318
68,22591
71.1,22127
78.1,17837
70,13426
68,16740
66.9,20850
60.1,13005
62.1,19914
57.9,15631
57,14954
64,17432
78.1,11497
55,6922
39.9,4759
44.1,4335
42.1,9471
45,11919
57,9596
46.9,12744
43,4510
48.9,9126
62.1,13312
57,8067
57,18422
62.1,18315
64,17570
66,16375
73.9,18180
81,23090
71.1,23318
68,22591
71.1,22127
78.1,17837
70,13426
68,16740
66.9,20850
60.1,13005
62.1,19914
57.9,15631
57,14954
64,17432
78.1,11497
55,6922
39.9,4759
44.1,4335
42.1,9471
45,11919
57,9596
46.9,12744
43,4510
48.9,9126
62.1,13312
57,8067
57,18422
62.1,18315
64,17570
66,16375
73.9,18180
81,23090
71.1,23318
68,22591
71.1,22127
78.1,17837
70,13426
68,16740
66.9,20850
60.1,13005
62.1,19914
57.9,15631
57,14954
64,17432
78.1,11497
55,6922
39.9,4759
44.1,4335
42.1,9471
45,11919
57,9596
46.9,12744
43,4510
48.9,9126
62.1,13312
57,8067
57,18422
62.1,18315
64,17570
66,16375
73.9,18180
81,23090
71.1,23318
68,22591
71.1,22127
78.1,17837
70,13426
68,16740
66.9,20850
60.1,13005
62.1,19914
57.9,15631
57,14954
64,17432
78.1,11497
55,6922
39.9,4759
44.1,4335
42.1,9471
45,11919
57,9596
46.9,12744
43,4510
48.9,9126
62.1,13312
57,8067
57,18422
62.1,18315
64,17570
66,16375
73.9,18180
81,23090
71.1,23318
68,22591
71.1,22127
78.1,17837
70,13426
68,16740
66.9,20850
60.1,13005
62.1,19914
57.9,15631
57,14954
64,17432
